attempt 0 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 0 | /queue | ERR | HTTP Error 404: Not Found
attempt 0 | /object_info | ERR | HTTP Error 404: Not Found
attempt 1 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 1 | /queue | ERR | HTTP Error 404: Not Found
attempt 1 | /object_info | ERR | HTTP Error 404: Not Found
attempt 2 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 2 | /queue | ERR | HTTP Error 404: Not Found
attempt 2 | /object_info | ERR | HTTP Error 404: Not Found
attempt 3 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 3 | /queue | ERR | HTTP Error 404: Not Found
attempt 3 | /object_info | ERR | HTTP Error 404: Not Found
attempt 4 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 4 | /queue | ERR | HTTP Error 404: Not Found
attempt 4 | /object_info | ERR | HTTP Error 404: Not Found
attempt 5 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 5 | /queue | ERR | HTTP Error 404: Not Found
attempt 5 | /object_info | ERR | HTTP Error 404: Not Found
attempt 6 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 6 | /queue | ERR | HTTP Error 404: Not Found
attempt 6 | /object_info | ERR | HTTP Error 404: Not Found
attempt 7 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 7 | /queue | ERR | HTTP Error 404: Not Found
attempt 7 | /object_info | ERR | HTTP Error 404: Not Found
attempt 8 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 8 | /queue | ERR | HTTP Error 404: Not Found
attempt 8 | /object_info | ERR | HTTP Error 404: Not Found
attempt 9 | /system_stats | ERR | HTTP Error 404: Not Found
attempt 9 | /queue | ERR | HTTP Error 404: Not Found
attempt 9 | /object_info | ERR | HTTP Error 404: Not Found
